order_item_id,order_id,menu_item_id,quantity,unit_listed_price,unit_food_cost,item_discount,line_total
1,1,5,1,260.0,82.12,26.0,234.0
2,1,1,1,345.0,115.17,34.5,310.5
3,2,2,1,311.0,108.57,0.0,311.0
4,3,3,1,329.0,111.74,0.0,329.0
5,4,1,1,339.0,115.17,0.0,339.0
6,4,26,1,48.0,14.17,0.0,48.0
7,5,8,1,269.0,90.26,0.0,269.0
8,5,8,1,269.0,90.26,0.0,269.0
9,6,2,1,308.0,108.57,0.0,308.0
10,6,20,2,42.0,22.75,0.0,84.0
11,7,6,1,267.0,89.2,0.0,267.0
12,7,1,1,339.0,115.17,0.0,339.0
13,8,9,1,281.0,95.35,0.0,281.0
14,8,21,1,26.0,10.94,0.0,26.0
15,9,2,1,311.0,108.57,0.0,311.0
16,9,6,1,271.0,89.2,0.0,271.0
17,10,1,1,342.0,115.17,0.0,342.0
18,11,6,1,266.0,89.2,0.0,266.0
19,11,8,1,266.0,90.26,0.0,266.0
20,11,22,1,42.0,22.75,0.0,42.0
21,12,6,1,269.0,89.2,0.0,269.0
22,12,22,1,42.0,22.75,0.0,42.0
23,13,6,1,271.0,89.2,0.0,271.0
24,13,21,1,27.0,10.94,0.0,27.0
25,14,1,1,339.0,115.17,0.0,339.0
26,15,8,1,267.0,90.26,0.0,267.0
27,16,11,1,289.0,96.65,0.0,289.0
28,16,2,1,311.0,108.57,0.0,311.0
29,17,1,1,345.0,115.17,0.0,345.0
30,18,8,1,269.0,90.26,0.0,269.0
31,19,8,1,267.0,90.26,0.0,267.0
32,19,11,1,284.0,96.65,0.0,284.0
33,20,6,1,271.0,89.2,0.0,271.0
34,20,10,1,277.0,94.21,0.0,277.0
35,20,21,1,27.0,10.94,0.0,27.0
36,21,8,1,269.0,90.26,26.9,242.1
37,21,20,1,42.0,22.75,4.2,37.8
38,22,1,1,342.0,115.17,0.0,342.0
39,22,26,1,48.0,14.17,0.0,48.0
40,23,1,1,342.0,115.17,0.0,342.0
41,24,3,1,325.0,111.74,0.0,325.0
42,25,2,1,305.0,108.57,0.0,305.0
43,25,1,1,339.0,115.17,0.0,339.0
44,26,5,1,255.0,82.12,0.0,255.0
45,26,21,1,26.0,10.94,0.0,26.0
46,27,9,1,278.0,95.35,0.0,278.0
47,27,6,1,267.0,89.2,0.0,267.0
48,28,6,1,267.0,89.2,0.0,267.0
49,28,21,1,26.0,10.94,0.0,26.0
50,29,1,1,342.0,115.17,0.0,342.0
51,29,1,1,342.0,115.17,0.0,342.0
52,30,3,1,325.0,111.74,0.0,325.0
53,31,10,1,271.0,94.21,0.0,271.0
54,32,8,1,266.0,90.26,0.0,266.0
55,33,2,1,304.0,108.57,0.0,304.0
56,34,2,1,308.0,108.57,0.0,308.0
57,35,5,1,255.0,82.12,0.0,255.0
58,35,10,1,271.0,94.21,0.0,271.0
59,35,2,1,304.0,108.57,0.0,304.0
60,36,8,1,271.0,90.26,0.0,271.0
61,36,20,1,43.0,22.75,0.0,43.0
62,37,1,1,342.0,115.17,0.0,342.0
63,37,20,1,42.0,22.75,0.0,42.0
64,38,8,1,271.0,90.26,0.0,271.0
